indice
,region,provincia,grupo_edad,total_personas,unidas_hombres,unidas_mujeres,unidas_total,separadas_hombres,separadas_mujeres,separadas_total,divorciadas_hombres,divorciadas_mujeres,divorciadas_total,viudas_hombres,viudas_mujeres,viudas_total,casadas_hombres,casadas_mujeres,casadas_total,solteras_hombres,solteras_mujeres,solteras_total
,Zamora Chinchipe,Total Zamora Chinchipe,De 25-29,"8,965","1,399","1,598","2,997",52,140,192,13,47,60,1,6,7,422,805,"1,227","2,272","2,210","4,482"
,Zamora Chinchipe,Total Zamora Chinchipe,De 30-34,"8,630","1,572","1,379","2,951",66,206,272,56,125,181,5,25,30,"1,018","1,322","2,340","1,416","1,440","2,856"
,Zamora Chinchipe,Total Zamora Chinchipe,De 35-39,"7,598","1,190","1,053","2,243",77,217,294,82,170,252,7,45,52,"1,386","1,524","2,910",919,928,"1,847"
,Zamora Chinchipe,Total Zamora Chinchipe,De 40-44,"6,148",816,620,"1,436",90,172,262,126,193,319,13,64,77,"1,307","1,457","2,764",659,631,"1,290"
,Zamora Chinchipe,Total Zamora Chinchipe,De 45-49,"5,254",561,408,969,113,139,252,124,186,310,21,88,109,"1,368","1,379","2,747",408,459,867
,Zamora Chinchipe,Total Zamora Chinchipe,De 50-54,"4,669",380,251,631,97,106,203,157,207,364,36,120,156,"1,389","1,268","2,657",357,301,658
,Zamora Chinchipe,Total Zamora Chinchipe,De 55-59,"3,956",238,172,410,75,106,181,150,192,342,44,160,204,"1,260","1,085","2,345",228,246,474
,Zamora Chinchipe,Total Zamora Chinchipe,De 60-64,"3,201",178,86,264,63,79,142,132,112,244,63,225,288,"1,017",891,"1,908",175,180,355
,Zamora Chinchipe,Total Zamora Chinchipe,De 65-69,"2,607",86,40,126,55,55,110,115,105,220,84,207,291,865,723,"1,588",137,135,272
,Zamora Chinchipe,Total Zamora Chinchipe,De 70-74,"1,945",45,22,67,42,31,73,52,53,105,116,253,369,669,511,"1,180",89,62,151
,Zamora Chinchipe,Total Zamora Chinchipe,De 75-79,"1,473",21,12,33,27,17,44,44,35,79,117,280,397,505,309,814,61,45,106
,Zamora Chinchipe,Total Zamora Chinchipe,De 80-84,961,16,3,19,6,8,14,22,13,35,130,246,376,289,150,439,41,37,78
,Zamora Chinchipe,Total Zamora Chinchipe,85 o m�s,934,13,6,19,6,3,9,15,12,27,182,319,501,218,79,297,32,49,81
,Zamora Chinchipe,Zamora,Total Zamora,"23,740","1,853","1,861","3,714",228,386,614,391,571,962,238,588,826,"3,537","3,533","7,070","5,462","5,092","10,554"
,Zamora Chinchipe,Zamora,De 12-14,"1,711",2,3,5,2,1,3,,,0,,,0,,,0,915,788,"1,703"
,Zamora Chinchipe,Zamora,De 15-19,"2,918",24,103,127,5,7,12,1,,1,,1,1,2,4,6,"1,460","1,311","2,771"
,Zamora Chinchipe,Zamora,De 20-24,"2,602",191,297,488,4,28,32,2,5,7,,,0,28,67,95,"1,048",932,"1,980"
,Zamora Chinchipe,Zamora,De 25-29,"2,544",358,446,804,16,32,48,6,18,24,,,0,111,225,336,675,657,"1,332"
,Zamora Chinchipe,Zamora,De 30-34,"2,449",352,324,676,25,67,92,21,50,71,1,5,6,323,435,758,420,426,846
,Zamora Chinchipe,Zamora,De 35-39,"2,235",307,261,568,23,60,83,30,67,97,2,12,14,457,462,919,274,280,554
,Zamora Chinchipe,Zamora,De 40-44,"1,807",184,153,337,27,53,80,50,77,127,2,21,23,394,446,840,202,198,400
,Zamora Chinchipe,Zamora,De 45-49,"1,494",146,104,250,24,32,56,39,58,97,7,20,27,396,396,792,130,142,272
,Zamora Chinchipe,Zamora,De 50-54,"1,376",113,73,186,22,26,48,63,71,134,3,37,40,392,375,767,109,92,201
,Zamora Chinchipe,Zamora,De 55-59,"1,221",71,49,120,18,30,48,51,82,133,15,39,54,361,343,704,70,92,162
,Zamora Chinchipe,Zamora,De 60-64,"1,024",51,21,72,21,25,46,44,45,89,16,78,94,312,287,599,56,68,124
,Zamora Chinchipe,Zamora,De 65-69,817,28,15,43,18,13,31,37,45,82,27,66,93,286,210,496,33,39,72
,Zamora Chinchipe,Zamora,De 70-74,564,11,6,17,12,9,21,22,27,49,35,67,102,186,140,326,30,19,49
,Zamora Chinchipe,Zamora,De 75-79,425,6,3,9,7,3,10,13,13,26,41,79,120,142,83,225,19,16,35
,Zamora Chinchipe,Zamora,De 80-84,260,5,1,6,2,,2,7,7,14,37,56,93,88,35,123,9,13,22
,Zamora Chinchipe,Zamora,85 o m�s,293,4,2,6,2,,2,5,6,11,52,107,159,59,25,84,12,19,31
,Zamora Chinchipe,Chinchipe,Total Chinchipe,"8,058",771,774,"1,545",52,89,141,69,75,144,73,219,292,"1,181","1,190","2,371","2,018","1,547","3,565"
,Zamora Chinchipe,Chinchipe,De 12-14,731,2,5,7,,1,1,,,0,,,0,,,0,361,362,723
,Zamora Chinchipe,Chinchipe,De 15-19,"1,030",14,58,72,,1,1,,,0,,1,1,,3,3,573,380,953
,Zamora Chinchipe,Chinchipe,De 20-24,878,64,155,219,,5,5,,,0,,,0,12,31,43,367,244,611
,Zamora Chinchipe,Chinchipe,De 25-29,802,142,147,289,3,11,14,1,2,3,,1,1,30,68,98,212,185,397
,Zamora Chinchipe,Chinchipe,De 30-34,781,165,145,310,3,12,15,3,6,9,,1,1,85,96,181,147,118,265
,Zamora Chinchipe,Chinchipe,De 35-39,681,120,114,234,4,11,15,5,4,9,,2,2,102,143,245,88,88,176
,Zamora Chinchipe,Chinchipe,De 40-44,564,100,56,156,1,8,9,13,13,26,1,3,4,115,127,242,82,45,127
,Zamora Chinchipe,Chinchipe,De 45-49,531,72,41,113,5,12,17,8,14,22,1,8,9,140,148,288,44,38,82
,Zamora Chinchipe,Chinchipe,De 50-54,414,34,20,54,5,5,10,9,10,19,6,10,16,134,120,254,38,23,61
,Zamora Chinchipe,Chinchipe,De 55-59,417,28,21,49,8,11,19,4,6,10,2,19,21,138,129,267,29,22,51
,Zamora Chinchipe,Chinchipe,De 60-64,334,16,9,25,6,6,12,8,5,13,1,16,17,127,100,227,20,20,40
,Zamora Chinchipe,Chinchipe,De 65-69,250,8,1,9,5,2,7,7,6,13,6,18,24,85,81,166,21,10,31
,Zamora Chinchipe,Chinchipe,De 70-74,222,1,1,2,8,3,11,4,1,5,15,30,45,77,57,134,21,4,25
,Zamora Chinchipe,Chinchipe,De 75-79,172,3,1,4,3,,3,5,5,10,6,28,34,63,47,110,6,5,11
,Zamora Chinchipe,Chinchipe,De 80-84,131,,,0,,,0,1,1,2,16,40,56,38,30,68,5,,5
,Zamora Chinchipe,Chinchipe,85 o m�s,120,2,,2,1,1,2,1,2,3,19,42,61,35,10,45,4,3,7
,Zamora Chinchipe,Nangaritza,Total Nangaritza,"4,672",535,553,"1,088",37,76,113,52,49,101,34,95,129,568,553,"1,121","1,135",985,"2,120"
,Zamora Chinchipe,Nangaritza,De 12-14,466,1,2,3,,,0,,,0,,,0,,,0,271,192,463
,Zamora Chinchipe,Nangaritza,De 15-19,748,19,66,85,,1,1,,,0,,,0,1,1,2,348,312,660
,Zamora Chinchipe,Nangaritza,De 20-24,618,83,99,182,,4,4,,1,1,,1,1,3,19,22,221,187,408
,Zamora Chinchipe,Nangaritza,De 25-29,460,88,119,207,3,8,11,,1,1,,,0,18,33,51,90,100,190
,Zamora Chinchipe,Nangaritza,De 30-34,474,111,92,203,4,15,19,4,5,9,1,2,3,41,53,94,73,73,146
,Zamora Chinchipe,Nangaritza,De 35-39,369,78,66,144,2,16,18,2,12,14,,2,2,64,59,123,36,32,68
,Zamora Chinchipe,Nangaritza,De 40-44,319,61,44,105,5,5,10,5,5,10,,7,7,56,77,133,28,26,54
,Zamora Chinchipe,Nangaritza,De 45-49,284,33,27,60,7,12,19,5,10,15,,8,8,79,72,151,11,20,31
,Zamora Chinchipe,Nangaritza,De 50-54,233,30,9,39,5,5,10,6,5,11,5,3,8,76,63,139,15,11,26
,Zamora Chinchipe,Nangaritza,De 55-59,187,9,13,22,2,2,4,6,2,8,4,4,8,65,56,121,14,10,24
,Zamora Chinchipe,Nangaritza,De 60-64,143,7,10,17,2,4,6,8,3,11,,14,14,45,37,82,8,5,13
,Zamora Chinchipe,Nangaritza,De 65-69,117,7,4,11,3,3,6,6,4,10,1,9,10,31,34,65,10,5,15
,Zamora Chinchipe,Nangaritza,De 70-74,107,5,1,6,2,1,3,7,1,8,3,11,14,42,29,71,4,1,5
,Zamora Chinchipe,Nangaritza,De 75-79,59,1,,1,1,,1,2,,2,5,12,17,22,9,31,3,4,7
,Zamora Chinchipe,Nangaritza,De 80-84,50,1,1,2,,,0,,,0,4,14,18,16,8,24,3,3,6
,Zamora Chinchipe,Nangaritza,85 o m�s,38,1,,1,1,,1,1,,1,11,8,19,9,3,12,,4,4
,Zamora Chinchipe,Yacuambi,Total Yacuambi,"4,772",359,372,731,34,54,88,31,38,69,47,130,177,771,764,"1,535","1,071","1,101","2,172"
,Zamora Chinchipe,Yacuambi,De 12-14,452,,3,3,,,0,,,0,,,0,,,0,220,229,449
,Zamora Chinchipe,Yacuambi,De 15-19,722,6,32,38,2,,2,,,0,,,0,,1,1,371,310,681
,Zamora Chinchipe,Yacuambi,De 20-24,560,56,83,139,2,3,5,,,0,,,0,8,16,24,212,180,392
,Zamora Chinchipe,Yacuambi,De 25-29,478,74,80,154,,4,4,,1,1,,1,1,30,50,80,103,135,238
,Zamora Chinchipe,Yacuambi,De 30-34,443,80,61,141,4,4,8,,,0,,2,2,64,74,138,63,91,154
,Zamora Chinchipe,Yacuambi,De 35-39,388,58,37,95,3,6,9,3,3,6,,4,4,93,98,191,41,42,83
,Zamora Chinchipe,Yacuambi,De 40-44,322,25,28,53,8,7,15,2,3,5,2,1,3,94,90,184,24,38,62
,Zamora Chinchipe,Yacuambi,De 45-49,290,24,19,43,,6,6,5,8,13,2,6,8,82,102,184,10,26,36
,Zamora Chinchipe,Yacuambi,De 50-54,302,18,13,31,4,7,11,3,5,8,5,14,19,115,91,206,10,17,27
,Zamora Chinchipe,Yacuambi,De 55-59,246,5,5,10,3,4,7,6,6,12,4,13,17,92,92,184,1,15,16
,Zamora Chinchipe,Yacuambi,De 60-64,176,5,6,11,3,4,7,3,7,10,5,12,17,68,50,118,7,6,13
,Zamora Chinchipe,Yacuambi,De 65-69,128,4,2,6,1,2,3,6,3,9,5,14,19,45,40,85,2,4,6
,Zamora Chinchipe,Yacuambi,De 70-74,109,3,2,5,1,2,3,1,1,2,4,13,17,41,37,78,3,1,4
,Zamora Chinchipe,Yacuambi,De 75-79,71,,,0,2,2,4,1,1,2,4,15,19,25,15,40,2,4,6
,Zamora Chinchipe,Yacuambi,De 80-84,47,,1,1,1,2,3,1,,1,7,16,23,9,7,16,2,1,3
,Zamora Chinchipe,Yacuambi,85 o m�s,38,1,,1,,1,1,,,0,9,19,28,5,1,6,,2,2
,Zamora Chinchipe,Yantzaza,Total Yantzaza,"17,840","1,570","1,600","3,170",202,344,546,247,338,585,174,413,587,"2,284","2,316","4,600","4,212","4,140","8,352"
,Zamora Chinchipe,Yantzaza,De 12-14,"1,574",2,2,4,,,0,,,0,,,0,,,0,804,766,"1,570"
,Zamora Chinchipe,Yantzaza,De 15-19,"2,443",33,105,138,1,3,4,,,0,,,0,1,4,5,"1,184","1,112","2,296"
,Zamora Chinchipe,Yantzaza,De 20-24,"2,114",172,264,436,3,22,25,1,4,5,,,0,13,40,53,845,750,"1,595"
,Zamora Chinchipe,Yantzaza,De 25-29,"1,890",273,317,590,9,42,51,3,7,10,,2,2,93,167,260,488,489,977
,Zamora Chinchipe,Yantzaza,De 30-34,"1,887",347,301,648,16,54,70,13,33,46,,4,4,223,290,513,281,325,606
,Zamora Chinchipe,Yantzaza,De 35-39,"1,617",236,255,491,26,55,81,15,33,48,3,14,17,265,318,583,191,206,397
,Zamora Chinchipe,Yantzaza,De 40-44,"1,307",179,125,304,22,41,63,30,40,70,3,11,14,283,311,594,106,156,262
,Zamora Chinchipe,Yantzaza,De 45-49,"1,081",113,90,203,34,26,60,27,36,63,7,19,26,277,248,525,85,119,204
,Zamora Chinchipe,Yantzaza,De 50-54,973,82,70,152,31,26,57,33,59,92,10,29,39,241,248,489,74,70,144
,Zamora Chinchipe,Yantzaza,De 55-59,787,54,41,95,21,26,47,40,59,99,12,32,44,235,174,409,42,51,93
,Zamora Chinchipe,Yantzaza,De 60-64,596,42,18,60,17,17,34,25,27,52,14,48,62,157,162,319,36,33,69
,Zamora Chinchipe,Yantzaza,De 65-69,533,18,4,22,9,12,21,28,16,44,18,41,59,174,151,325,29,33,62
,Zamora Chinchipe,Yantzaza,De 70-74,393,9,5,14,4,12,16,10,11,21,25,54,79,133,104,237,13,13,26
,Zamora Chinchipe,Yantzaza,De 75-79,291,2,3,5,8,5,13,14,6,20,24,55,79,102,53,155,13,6,19
,Zamora Chinchipe,Yantzaza,De 80-84,184,6,,6,1,2,3,4,4,8,25,45,70,51,30,81,10,6,16
,Zamora Chinchipe,Yantzaza,85 o m�s,170,2,,2,,1,1,4,3,7,33,59,92,36,16,52,11,5,16
,Zamora Chinchipe,El Pangui,Total El Pangui,"9,486","1,029","1,073","2,102",100,194,294,116,161,277,77,204,281,"1,133","1,086","2,219","2,190","2,123","4,313"
,Zamora Chinchipe,El Pangui,De 12-14,858,3,5,8,,1,1,,,0,,1,1,,,0,427,421,848
,Zamora Chinchipe,El Pangui,De 15-19,"1,391",27,103,130,1,3,4,,,0,1,1,2,1,2,3,668,584,"1,252"
,Zamora Chinchipe,El Pangui,De 20-24,"1,185",133,210,343,4,17,21,,1,1,,,0,9,35,44,424,352,776
,Zamora Chinchipe,El Pangui,De 25-29,"1,086",196,202,398,13,23,36,3,11,14,,,0,60,101,161,230,247,477
,Zamora Chinchipe,El Pangui,De 30-34,968,197,179,376,6,19,25,6,13,19,2,5,7,117,124,241,133,167,300
,Zamora Chinchipe,El Pangui,De 35-39,860,145,134,279,6,36,42,11,21,32,,6,6,133,159,292,87,122,209
,Zamora Chinchipe,El Pangui,De 40-44,655,110,103,213,10,28,38,7,12,19,3,5,8,121,116,237,73,67,140
,Zamora Chinchipe,El Pangui,De 45-49,538,77,55,132,15,20,35,14,24,38,1,6,7,114,129,243,40,43,83
,Zamora Chinchipe,El Pangui,De 50-54,498,51,32,83,9,10,19,26,23,49,2,13,15,154,103,257,39,36,75
,Zamora Chinchipe,El Pangui,De 55-59,381,31,20,51,11,9,20,14,18,32,2,13,15,124,91,215,26,22,48
,Zamora Chinchipe,El Pangui,De 60-64,316,33,14,47,9,9,18,13,15,28,9,19,28,89,73,162,18,15,33
,Zamora Chinchipe,El Pangui,De 65-69,266,10,9,19,9,13,22,13,14,27,9,25,34,73,64,137,7,20,27
,Zamora Chinchipe,El Pangui,De 70-74,162,7,1,8,4,3,7,2,3,5,12,24,36,50,39,89,6,11,17
,Zamora Chinchipe,El Pangui,De 75-79,128,4,3,7,1,3,4,2,5,7,7,32,39,39,22,61,4,6,10
,Zamora Chinchipe,El Pangui,De 80-84,83,3,,3,2,,2,3,,3,9,22,31,22,15,37,4,3,7
,Zamora Chinchipe,El Pangui,85 o m�s,111,2,3,5,,,0,2,1,3,20,32,52,27,13,40,4,7,11
,Zamora Chinchipe,Centinela del C�ndor,Total Centinela del C�ndor,"6,172",451,438,889,47,66,113,74,97,171,76,177,253,887,896,"1,783","1,599","1,364","2,963"
,Zamora Chinchipe,Centinela del C�ndor,De 12-14,526,1,,1,,,0,,,0,,,0,,,0,287,238,525
,Zamora Chinchipe,Centinela del C�ndor,De 15-19,853,6,36,42,,1,1,,,0,,,0,,,0,427,383,810
,Zamora Chinchipe,Centinela del C�ndor,De 20-24,666,44,80,124,,1,1,1,1,2,,,0,2,14,16,284,239,523
,Zamora Chinchipe,Centinela del C�ndor,De 25-29,619,85,85,170,3,3,6,,1,1,,1,1,31,56,87,188,166,354
,Zamora Chinchipe,Centinela del C�ndor,De 30-34,632,110,105,215,3,10,13,5,12,17,1,3,4,50,93,143,137,103,240
,Zamora Chinchipe,Centinela del C�ndor,De 35-39,537,80,54,134,6,11,17,6,9,15,1,4,5,97,110,207,85,74,159
,Zamora Chinchipe,Centinela del C�ndor,De 40-44,439,46,33,79,4,10,14,3,11,14,1,6,7,106,111,217,64,44,108
,Zamora Chinchipe,Centinela del C�ndor,De 45-49,410,37,22,59,10,7,17,10,19,29,3,7,10,110,112,222,40,33,73
,Zamora Chinchipe,Centinela del C�ndor,De 50-54,317,13,11,24,9,9,18,4,18,22,,6,6,97,102,199,21,27,48
,Zamora Chinchipe,Centinela del C�ndor,De 55-59,264,12,7,19,1,8,9,11,9,20,,17,17,99,72,171,14,14,28
,Zamora Chinchipe,Centinela del C�ndor,De 60-64,227,11,1,12,2,2,4,13,4,17,5,14,19,74,69,143,17,15,32
,Zamora Chinchipe,Centinela del C�ndor,De 65-69,210,4,2,6,4,2,6,11,5,16,8,12,20,72,58,130,19,13,32
,Zamora Chinchipe,Centinela del C�ndor,De 70-74,166,1,2,3,3,,3,3,3,6,12,31,43,54,46,100,7,4,11
,Zamora Chinchipe,Centinela del C�ndor,De 75-79,135,1,,1,1,,1,3,4,7,13,24,37,47,34,81,6,2,8
,Zamora Chinchipe,Centinela del C�ndor,De 80-84,91,,,0,,2,2,3,1,4,13,24,37,27,15,42,2,4,6
,Zamora Chinchipe,Centinela del C�ndor,85 o m�s,80,,,0,1,,1,1,,1,19,28,47,21,4,25,1,5,6
,Zamora Chinchipe,Palanda,Total Palanda,"6,855",520,535,"1,055",57,112,169,67,84,151,77,149,226,"1,048","1,046","2,094","1,706","1,454","3,160"
,Zamora Chinchipe,Palanda,De 12-14,641,1,2,3,,,0,,,0,,,0,,,0,301,337,638
,Zamora Chinchipe,Palanda,De 15-19,"1,011",6,54,60,,1,1,,,0,,,0,,1,1,515,434,949
,Zamora Chinchipe,Palanda,De 20-24,764,47,90,137,,3,3,,,0,,,0,7,33,40,325,259,584
,Zamora Chinchipe,Palanda,De 25-29,688,98,116,214,1,7,8,,4,4,1,,1,41,77,118,193,150,343
,Zamora Chinchipe,Palanda,De 30-34,659,125,92,217,2,17,19,1,4,5,,2,2,85,116,201,122,93,215
,Zamora Chinchipe,Palanda,De 35-39,615,97,89,186,6,16,22,7,15,22,,1,1,126,125,251,82,51,133
,Zamora Chinchipe,Palanda,De 40-44,466,62,40,102,6,15,21,9,22,31,1,7,8,90,126,216,49,39,88
,Zamora Chinchipe,Palanda,De 45-49,403,32,23,55,11,14,25,12,9,21,,7,7,124,115,239,33,23,56
,Zamora Chinchipe,Palanda,De 50-54,371,21,13,34,10,13,23,8,9,17,4,5,9,118,122,240,31,17,48
,Zamora Chinchipe,Palanda,De 55-59,323,15,9,24,7,11,18,10,5,15,2,13,15,116,99,215,21,15,36
,Zamora Chinchipe,Palanda,De 60-64,274,6,4,10,2,6,8,8,4,12,11,16,27,110,86,196,9,12,21
,Zamora Chinchipe,Palanda,De 65-69,204,5,1,6,4,6,10,5,7,12,8,15,23,75,60,135,11,7,18
,Zamora Chinchipe,Palanda,De 70-74,143,2,,2,5,1,6,1,4,5,7,14,21,62,37,99,2,8,10
,Zamora Chinchipe,Palanda,De 75-79,133,1,2,3,2,1,3,3,1,4,11,25,36,44,35,79,7,1,8
,Zamora Chinchipe,Palanda,De 80-84,96,1,,1,,1,1,2,,2,18,24,42,31,8,39,5,6,11
,Zamora Chinchipe,Palanda,85 o m�s,64,1,,1,1,,1,1,,1,14,20,34,19,6,25,,2,2
,Zamora Chinchipe,Paquisha,Total Paquisha,"3,554",431,417,848,37,71,108,46,49,95,24,68,92,393,396,789,880,742,"1,622"
,Zamora Chinchipe,Paquisha,De 12-14,321,2,,2,,,0,,,0,,,0,,,0,165,154,319
,Zamora Chinchipe,Paquisha,De 15-19,573,6,36,42,,2,2,,,0,,,0,,,0,295,234,529
,Zamora Chinchipe,Paquisha,De 20-24,452,59,80,139,1,8,9,,,0,,,0,2,6,8,161,135,296
,Zamora Chinchipe,Paquisha,De 25-29,398,85,86,171,4,10,14,,2,2,,1,1,8,28,36,93,81,174
,Zamora Chinchipe,Paquisha,De 30-34,337,85,80,165,3,8,11,3,2,5,,1,1,30,41,71,40,44,84
,Zamora Chinchipe,Paquisha,De 35-39,296,69,43,112,1,6,7,3,6,9,1,,1,49,50,99,35,33,68
,Zamora Chinchipe,Paquisha,De 40-44,269,49,38,87,7,5,12,7,10,17,,3,3,48,53,101,31,18,49
,Zamora Chinchipe,Paquisha,De 45-49,223,27,27,54,7,10,17,4,8,12,,7,7,46,57,103,15,15,30
,Zamora Chinchipe,Paquisha,De 50-54,185,18,10,28,2,5,7,5,7,12,1,3,4,62,44,106,20,8,28
,Zamora Chinchipe,Paquisha,De 55-59,130,13,7,20,4,5,9,8,5,13,3,10,13,30,29,59,11,5,16
,Zamora Chinchipe,Paquisha,De 60-64,111,7,3,10,1,6,7,10,2,12,2,8,10,35,27,62,4,6,10
,Zamora Chinchipe,Paquisha,De 65-69,82,2,2,4,2,2,4,2,5,7,2,7,9,24,25,49,5,4,9
,Zamora Chinchipe,Paquisha,De 70-74,79,6,4,10,3,,3,2,2,4,3,9,12,24,22,46,3,1,4
,Zamora Chinchipe,Paquisha,De 75-79,59,3,,3,2,3,5,1,,1,6,10,16,21,11,32,1,1,2
,Zamora Chinchipe,Paquisha,De 80-84,19,,,0,,1,1,1,,1,1,5,6,7,2,9,1,1,2
,Zamora Chinchipe,Paquisha,85 o m�s,20,,1,1,,,0,,,0,5,4,9,7,1,8,,2,2
,Gal�pagos,Total Gal�pagos,Total Gal�pagos,"23,209","1,852","1,816","3,668",241,342,583,542,863,"1,405",110,354,464,"4,292","4,142","8,434","4,585","4,070","8,655"
,Gal�pagos,Total Gal�pagos,De 12-14,"1,496",2,,2,,,0,,,0,,,0,,,0,771,723,"1,494"
,Gal�pagos,Total Gal�pagos,De 15-19,"2,232",17,44,61,1,3,4,,,0,,,0,7,14,21,"1,127","1,019","2,146"
,Gal�pagos,Total Gal�pagos,De 20-24,"2,245",158,238,396,9,12,21,4,10,14,,1,1,82,152,234,845,734,"1,579"
,Gal�pagos,Total Gal�pagos,De 25-29,"2,424",254,313,567,20,35,55,11,34,45,,6,6,297,385,682,592,477,"1,069"
,Gal�pagos,Total Gal�pagos,De 30-34,"2,611",320,287,607,27,40,67,38,62,100,5,4,9,544,586,"1,130",393,305,698
,Gal�pagos,Total Gal�pagos,De 35-39,"2,405",262,235,497,38,48,86,51,98,149,4,1,5,604,630,"1,234",218,216,434
,Gal�pagos,Total Gal�pagos,De 40-44,"2,308",249,251,500,34,46,80,98,103,201,,11,11,613,590,"1,203",175,138,313
,Gal�pagos,Total Gal�pagos,De 45-49,"1,816",178,158,336,30,51,81,71,104,175,6,7,13,500,486,986,114,111,225
,Gal�pagos,Total Gal�pagos,De 50-54,"1,659",146,126,272,24,26,50,67,128,195,3,30,33,471,437,908,104,97,201
,Gal�pagos,Total Gal�pagos,De 55-59,"1,351",109,82,191,15,23,38,67,107,174,11,42,53,386,341,727,81,87,168
,Gal�pagos,Total Gal�pagos,De 60-64,"1,016",75,43,118,18,21,39,48,96,144,9,44,53,309,219,528,69,65,134
,Gal�pagos,Total Gal�pagos,De 65-69,677,35,15,50,14,19,33,35,67,102,21,46,67,195,145,340,40,45,85
,Gal�pagos,Total Gal�pagos,De 70-74,416,30,10,40,4,9,13,21,21,42,11,39,50,138,86,224,21,26,47
,Gal�pagos,Total Gal�pagos,De 75-79,275,9,10,19,5,6,11,17,24,41,11,44,55,77,43,120,17,12,29
,Gal�pagos,Total Gal�pagos,De 80-84,154,7,3,10,2,2,4,8,6,14,9,35,44,44,22,66,9,7,16
,Gal�pagos,Total Gal�pagos,85 o m�s,124,1,1,2,,1,1,6,3,9,20,44,64,25,6,31,9,8,17
,Gal�pagos,San Crist�bal,Total San Crist�bal,"6,771",501,473,974,44,58,102,145,273,418,29,116,145,"1,265","1,222","2,487","1,403","1,242","2,645"
,Gal�pagos,San Crist�bal,De 12-14,430,1,,1,,,0,,,0,,,0,,,0,226,203,429
,Gal�pagos,San Crist�bal,De 15-19,638,3,10,13,1,,1,,,0,,,0,,2,2,330,292,622
,Gal�pagos,San Crist�bal,De 20-24,621,28,46,74,4,3,7,2,,2,,,0,16,35,51,257,230,487
,Gal�pagos,San Crist�bal,De 25-29,677,61,74,135,4,7,11,3,8,11,,,0,82,104,186,184,150,334
,Gal�pagos,San Crist�bal,De 30-34,788,74,76,150,5,6,11,8,17,25,2,2,4,170,188,358,135,105,240
,Gal�pagos,San Crist�bal,De 35-39,702,71,79,150,5,5,10,16,35,51,1,1,2,168,190,358,64,67,131
,Gal�pagos,San Crist�bal,De 40-44,638,79,67,146,6,5,11,19,35,54,,4,4,165,153,318,62,43,105
,Gal�pagos,San Crist�bal,De 45-49,483,51,33,84,3,8,11,20,28,48,1,2,3,136,139,275,28,34,62
,Gal�pagos,San Crist�bal,De 50-54,501,39,31,70,7,7,14,20,40,60,2,12,14,150,129,279,30,34,64
,Gal�pagos,San Crist�bal,De 55-59,410,39,29,68,1,5,6,16,33,49,2,15,17,119,100,219,28,23,51
,Gal�pagos,San Crist�bal,De 60-64,315,24,15,39,3,3,6,14,37,51,,15,15,89,64,153,23,28,51
,Gal�pagos,San Crist�bal,De 65-69,226,11,7,18,3,7,10,13,22,35,6,13,19,65,58,123,11,10,21
,Gal�pagos,San Crist�bal,De 70-74,154,15,2,17,1,,1,2,7,9,2,16,18,49,41,90,8,11,19
,Gal�pagos,San Crist�bal,De 75-79,98,2,3,5,1,2,3,9,8,17,5,8,13,33,12,45,8,7,15
,Gal�pagos,San Crist�bal,De 80-84,51,3,1,4,,,0,1,2,3,2,13,15,18,6,24,4,1,5
,Gal�pagos,San Crist�bal,85 o m�s,39,,,0,,,0,2,1,3,6,15,21,5,1,6,5,4,9
,Gal�pagos,Isabela,Total Isabela,"2,434",272,272,544,29,40,69,57,64,121,14,33,47,441,415,856,421,376,797
,Gal�pagos,Isabela,De 12-14,158,,,0,,,0,,,0,,,0,,,0,82,76,158
,Gal�pagos,Isabela,De 15-19,226,2,7,9,,3,3,,,0,,,0,2,1,3,114,97,211
,Gal�pagos,Isabela,De 20-24,256,29,57,86,1,1,2,,,0,,,0,7,22,29,76,63,139
,Gal�pagos,Isabela,De 25-29,269,40,41,81,2,3,5,,5,5,,,0,33,39,72,54,52,106
,Gal�pagos,Isabela,De 30-34,272,50,47,97,3,6,9,2,4,6,,1,1,54,54,108,29,22,51
,Gal�pagos,Isabela,De 35-39,230,29,23,52,5,4,9,4,9,13,,,0,60,66,126,12,18,30
,Gal�pagos,Isabela,De 40-44,248,38,34,72,3,6,9,13,8,21,,2,2,66,58,124,11,9,20
,Gal�pagos,Isabela,De 45-49,180,24,25,49,4,6,10,7,4,11,1,2,3,49,40,89,9,9,18
,Gal�pagos,Isabela,De 50-54,165,22,20,42,1,2,3,3,7,10,,,0,46,39,85,13,12,25
,Gal�pagos,Isabela,De 55-59,151,20,7,27,4,3,7,7,13,20,,5,5,35,42,77,5,10,15
,Gal�pagos,Isabela,De 60-64,106,11,3,14,4,3,7,7,6,13,2,4,6,35,20,55,7,4,11
,Gal�pagos,Isabela,De 65-69,79,4,2,6,2,2,4,8,4,12,5,4,9,22,17,39,5,4,9
,Gal�pagos,Isabela,De 70-74,41,3,3,6,,,0,5,1,6,3,3,6,13,8,21,2,,2
,Gal�pagos,Isabela,De 75-79,36,,3,3,,1,1,1,2,3,2,6,8,11,8,19,2,,2
,Gal�pagos,Isabela,De 80-84,12,,,0,,,0,,,0,,6,6,5,1,6,,,0
,Gal�pagos,Isabela,85 o m�s,5,,,0,,,0,,1,1,1,,1,3,,3,,,0
